"Date","Time","Open","High","Low","Close","Up","Down"
05/07/2019,05:00,2918.00,2935.00,2916.50,2924.50,165,89
05/07/2019,16:00,2923.25,2924.00,2867.75,2896.00,788,848
05/08/2019,05:00,2895.50,2903.50,2883.50,2884.00,257,244
05/08/2019,16:00,2883.50,2903.25,2874.25,2889.25,1162,1183
05/09/2019,05:00,2887.50,2889.75,2863.50,2870.00,400,385
05/09/2019,16:00,2868.75,2881.75,2841.50,2877.25,990,1016
05/10/2019,05:00,2876.25,2893.25,2858.00,2869.25,576,883
05/10/2019,16:00,2873.00,2897.75,2831.00,2892.50,1187,1073
05/13/2019,05:00,2864.75,2873.50,2849.50,2857.25,496,183
05/13/2019,16:00,2859.75,2859.75,2806.25,2811.50,1421,1175
05/14/2019,05:00,2809.75,2831.00,2804.50,2828.75,308,182
05/14/2019,16:00,2829.75,2858.25,2825.75,2844.00,677,541
05/15/2019,05:00,2844.00,2852.50,2835.00,2835.50,323,357
05/15/2019,16:00,2837.25,2864.75,2819.50,2860.00,871,889
05/16/2019,05:00,2858.50,2862.00,2846.25,2862.00,359,286
05/16/2019,16:00,2862.75,2898.50,2862.75,2884.75,1122,1799
05/17/2019,05:00,2884.75,2886.75,2866.25,2873.00,184,193
05/17/2019,16:00,2871.50,2892.25,2857.00,2866.25,833,950
05/20/2019,05:00,2871.00,2880.50,2860.00,2865.00,226,204
05/20/2019,16:00,2864.00,2864.50,2837.50,2852.00,1075,1253
05/21/2019,05:00,2853.75,2864.00,2851.00,2864.00,169,182
05/21/2019,16:00,2864.50,2875.25,2861.00,2869.00,1080,1404
05/22/2019,05:00,2869.75,2874.00,2862.00,2869.50,513,727
05/22/2019,16:00,2869.25,2872.50,2853.25,2862.25,1572,721
05/23/2019,05:00,2862.50,2863.00,2832.50,2834.25,171,436
05/23/2019,16:00,2832.50,2841.25,2810.25,2825.00,1828,1891
05/24/2019,05:00,2826.50,2842.50,2824.00,2841.00,565,294
05/24/2019,16:00,2842.50,2846.50,2824.50,2835.50,837,1841
05/27/2019,05:00,2836.50,2843.50,2831.50,2834.75,156,164
05/27/2019,16:00,2834.50,2836.25,2832.00,2835.50,60,240
05/28/2019,05:00,2835.25,2844.00,2828.00,2832.00,353,488
05/28/2019,16:00,2833.00,2845.50,2805.00,2809.50,1350,1735
05/29/2019,05:00,2807.25,2810.25,2786.50,2790.75,1105,1054
05/29/2019,16:00,2791.00,2796.50,2770.25,2785.00,2520,2230
05/30/2019,05:00,2784.00,2796.25,2781.00,2795.25,259,224
05/30/2019,16:00,2795.25,2803.25,2780.50,2794.25,2823,2620
05/31/2019,05:00,2793.75,2794.75,2758.25,2759.25,686,1049
05/31/2019,16:00,2759.75,2773.25,2753.75,2756.00,2362,2393
06/03/2019,05:00,2746.00,2747.50,2734.50,2747.25,1398,1310
06/03/2019,16:00,2747.25,2767.00,2732.25,2757.50,3406,3646
06/04/2019,05:00,2758.00,2766.50,2747.00,2765.75,1018,827
06/04/2019,16:00,2765.25,2809.75,2761.75,2809.25,6860,4684
06/05/2019,05:00,2810.00,2827.00,2809.50,2826.00,2074,1039
06/05/2019,16:00,2826.00,2833.00,2804.50,2832.00,4243,4337
06/06/2019,05:00,2824.00,2841.00,2817.00,2838.50,1699,1433
06/06/2019,16:00,2838.25,2856.75,2826.75,2843.75,7457,7265
06/07/2019,05:00,2843.00,2859.00,2842.00,2857.50,1625,1186
06/07/2019,16:00,2857.50,2889.75,2850.00,2881.25,9519,8660
06/10/2019,05:00,2896.75,2903.00,2884.50,2888.00,2721,2565
06/10/2019,16:00,2887.75,2910.00,2886.75,2894.00,8285,7561
06/11/2019,05:00,2893.00,2907.25,2890.50,2906.50,4170,3076
06/11/2019,16:00,2906.50,2915.75,2883.50,2891.75,13456,12355
06/12/2019,05:00,2891.00,2894.50,2880.25,2881.00,4972,6121
06/12/2019,16:00,2880.75,2893.75,2879.25,2885.50,21595,21579
06/13/2019,05:00,2886.00,2896.75,2871.50,2892.50,17193,15153
06/13/2019,16:00,2892.75,2900.50,2886.75,2898.75,102282,100989
06/14/2019,05:00,2897.50,2902.75,2888.50,2890.25,49880,51118
06/14/2019,16:00,2890.50,2899.75,2884.25,2896.25,326239,314225
06/17/2019,05:00,2895.00,2904.75,2895.00,2898.00,46045,43913
06/17/2019,16:00,2898.00,2902.75,2892.00,2897.75,358775,364691
06/18/2019,05:00,2898.00,2908.00,2889.00,2903.75,72585,67798
06/18/2019,16:00,2904.00,2916.00,2903.25,2913.75,71909,52470
