"Date","Time","Open","High","Low","Close","Up","Down"
06/24/2019,05:00,2948.00,2961.75,2947.25,2957.75,54751,54743
06/24/2019,16:00,2957.50,2960.00,2948.75,2951.50,378684,390892
06/25/2019,05:00,2951.00,2958.25,2942.25,2947.25,66524,78224
06/25/2019,16:00,2947.25,2953.00,2920.00,2923.00,608396,629296
06/26/2019,05:00,2922.50,2938.25,2917.50,2936.00,86234,78742
06/26/2019,16:00,2936.00,2939.00,2914.50,2915.25,506514,527956
06/27/2019,05:00,2914.75,2935.75,2914.75,2925.00,79457,76218
06/27/2019,16:00,2925.00,2933.75,2917.75,2933.50,424166,426784
06/28/2019,05:00,2932.75,2939.75,2930.00,2939.00,55687,51608
06/28/2019,16:00,2939.25,2955.25,2932.75,2953.75,561891,544082
07/01/2019,05:00,2970.00,2980.50,2963.00,2976.00,104730,97909
07/01/2019,16:00,2976.00,2981.75,2955.50,2968.00,599305,592000
07/02/2019,05:00,2968.00,2972.00,2959.75,2963.25,58617,61311
07/02/2019,16:00,2963.25,2980.00,2958.50,2979.00,499367,462965
07/03/2019,05:00,2979.00,2988.00,2973.75,2987.00,66342,56749
07/03/2019,16:00,2987.00,3001.50,2981.50,3001.00,325618,306449
07/04/2019,05:00,3000.75,3006.00,2997.25,3000.00,26777,25757
07/04/2019,16:00,2999.75,3003.75,2998.75,3002.25,24317,20634
07/05/2019,05:00,3002.75,3004.00,2993.25,2993.75,42171,41241
07/05/2019,16:00,2994.00,2997.75,2971.25,2991.75,542076,553422
07/08/2019,05:00,2990.75,2994.75,2978.75,2985.00,67132,67580
07/08/2019,16:00,2985.00,2986.25,2973.25,2978.50,421319,418042
07/09/2019,05:00,2978.00,2979.50,2963.50,2964.75,72326,73768
07/09/2019,16:00,2964.75,2986.25,2964.25,2982.25,403663,381572
07/10/2019,05:00,2982.25,2987.50,2973.75,2975.50,54517,58783
07/10/2019,16:00,2975.25,3007.50,2971.25,2996.25,644593,621823
07/11/2019,05:00,2996.00,3006.75,2995.25,3006.00,57596,56664
07/11/2019,16:00,3006.00,3006.25,2992.50,3004.00,519292,507635
07/12/2019,05:00,3003.00,3012.50,3002.25,3011.00,69016,66861
07/12/2019,16:00,3011.25,3018.00,3005.50,3014.25,407946,387033
07/15/2019,05:00,3015.25,3023.50,3010.75,3018.50,56562,54114
07/15/2019,16:00,3018.50,3022.75,3012.50,3017.50,330584,347994
07/16/2019,05:00,3017.25,3020.75,3016.00,3017.50,39055,39529
07/16/2019,16:00,3017.50,3021.75,3004.50,3005.75,395523,441782
07/17/2019,05:00,3005.75,3013.00,3003.25,3012.75,46552,43836
07/17/2019,16:00,3012.50,3012.75,2980.50,2981.25,441792,474386
07/18/2019,05:00,2980.75,2984.00,2974.50,2980.50,73180,78161
07/18/2019,16:00,2980.75,3005.25,2975.75,3003.50,601182,550899
07/19/2019,05:00,3003.75,3009.50,2996.25,3000.75,82142,81301
07/19/2019,16:00,3000.75,3009.75,2969.50,2971.00,599426,649029
07/22/2019,05:00,2974.50,2985.75,2972.50,2983.75,75484,68945
07/22/2019,16:00,2984.00,2993.50,2978.50,2989.00,457197,447017
07/23/2019,05:00,2988.75,2996.50,2987.50,2995.75,55684,50295
07/23/2019,16:00,2995.75,3008.50,2990.25,3003.00,466362,454051
07/24/2019,05:00,3003.00,3008.25,2996.00,2997.50,56777,59705
07/24/2019,16:00,2997.75,3022.00,2997.00,3017.75,462506,440700
07/25/2019,05:00,3018.00,3024.75,3017.75,3023.00,49215,41518
07/25/2019,16:00,3022.75,3027.75,2998.00,3005.00,599736,620220
07/26/2019,05:00,3006.50,3016.50,3006.00,3016.00,51928,44801
07/26/2019,16:00,3016.25,3029.50,3010.00,3023.00,427359,390670
07/29/2019,05:00,3022.00,3026.00,3020.00,3023.25,40959,39467
07/29/2019,16:00,3023.25,3027.25,3015.50,3022.75,361373,356815
07/30/2019,05:00,3022.25,3027.50,3012.50,3015.25,52923,55033
07/30/2019,16:00,3015.25,3018.25,3001.50,3015.25,524956,519459
07/31/2019,05:00,3016.25,3020.75,3013.75,3018.75,65807,69746
07/31/2019,16:00,3019.00,3019.50,2958.00,2973.50,860351,882229
08/01/2019,05:00,2970.25,2989.50,2966.25,2988.50,120968,116020
08/01/2019,16:00,2988.75,3014.25,2944.50,2948.75,1213013,1218963
08/02/2019,05:00,2950.25,2952.00,2933.50,2939.75,163212,163452
08/02/2019,16:00,2939.75,2961.00,2913.50,2934.50,1015708,1023897
08/05/2019,05:00,2929.25,2933.50,2887.25,2899.00,201822,219606
08/05/2019,16:00,2899.00,2901.00,2884.00,2884.25,81220,92346
