"","Date","Time","Open","High","Low","Close","Vol","OI","TR","TRProb","round(TRProb * 100, 3)"
"1","12/30/2019","17:05",3223.25,3224.5,3221.75,3223.75,526,415,NA,NA,NA
"2","12/30/2019","17:10",3224,3225,3223.5,3224.5,328,286,1.5,0.534306256438473,53.431
"3","12/30/2019","17:15",3224.5,3225,3224.25,3224.5,200,147,0.75,0.245476352411975,24.548
"4","12/30/2019","17:20",3224.5,3224.5,3223.75,3224.25,230,128,0.75,0.245476352411975,24.548
"5","12/30/2019","17:25",3224.25,3224.75,3224,3224.5,108,27,0.75,0.245476352411975,24.548
"6","12/30/2019","17:30",3224.5,3224.5,3223.75,3224.25,71,180,0.75,0.245476352411975,24.548
"7","12/30/2019","17:35",3224.5,3225,3224.5,3224.5,103,120,0.75,0.245476352411975,24.548
"8","12/30/2019","17:40",3224.25,3224.5,3223.75,3223.75,166,110,0.75,0.245476352411975,24.548
"9","12/30/2019","17:45",3223.75,3224.25,3223.5,3224.25,105,94,0.75,0.245476352411975,24.548
"10","12/30/2019","17:50",3224,3224.25,3223.5,3223.75,54,126,0.75,0.245476352411975,24.548
"11","12/30/2019","17:55",3223.75,3224,3223.5,3224,123,26,0.5,0.171795898856082,17.18
"12","12/30/2019","18:00",3224.25,3225,3224.25,3224.75,220,83,1,0.3334172721875,33.342
"13","12/30/2019","18:05",3224.75,3225,3224,3224.75,226,168,1,0.3334172721875,33.342
"14","12/30/2019","18:10",3225,3225,3224.25,3224.75,216,30,0.75,0.245476352411975,24.548
"15","12/30/2019","18:15",3224.75,3225.25,3224.5,3225,254,177,0.75,0.245476352411975,24.548
"16","12/30/2019","18:20",3224.75,3225,3224.5,3224.75,39,121,0.5,0.171795898856082,17.18
"17","12/30/2019","18:25",3225,3225,3224.5,3224.75,101,85,0.5,0.171795898856082,17.18
"18","12/30/2019","18:30",3225,3225.25,3224.75,3224.75,41,81,0.5,0.171795898856082,17.18
"19","12/30/2019","18:35",3224.75,3225,3224.75,3225,56,11,0.25,0.114026375399164,11.403
"20","12/30/2019","18:40",3225,3225.75,3225,3225.5,332,78,0.75,0.245476352411975,24.548
"21","12/30/2019","18:45",3225.75,3225.75,3225.5,3225.5,77,58,0.25,0.114026375399164,11.403
"22","12/30/2019","18:50",3225.75,3225.75,3225.25,3225.75,47,155,0.5,0.171795898856082,17.18
"23","12/30/2019","18:55",3225.5,3225.5,3224.75,3225.25,45,209,1,0.3334172721875,33.342
"24","12/30/2019","19:00",3225,3225.25,3225,3225.25,107,17,0.25,0.114026375399164,11.403
"25","12/30/2019","19:05",3225,3225.75,3224.75,3225.25,145,257,1,0.3334172721875,33.342
"26","12/30/2019","19:10",3225.25,3225.75,3225.25,3225.5,128,37,0.5,0.171795898856082,17.18
"27","12/30/2019","19:15",3225.5,3226.5,3225.5,3226.25,432,74,1,0.3334172721875,33.342
"28","12/30/2019","19:20",3226.25,3227.25,3226.25,3227,696,400,1,0.3334172721875,33.342
"29","12/30/2019","19:25",3226.75,3227.75,3226.75,3227.75,455,225,1,0.3334172721875,33.342
"30","12/30/2019","19:30",3227.75,3227.75,3227,3227.5,138,168,0.75,0.245476352411975,24.548
"31","12/30/2019","19:35",3227.25,3228.25,3227.25,3227.75,363,414,1,0.3334172721875,33.342
"32","12/30/2019","19:40",3227.5,3227.75,3227,3227.25,273,436,0.75,0.245476352411975,24.548
"33","12/30/2019","19:45",3227.25,3227.75,3227.25,3227.5,437,141,0.5,0.171795898856082,17.18
"34","12/30/2019","19:50",3227.5,3227.5,3227,3227.25,60,288,0.5,0.171795898856082,17.18
"35","12/30/2019","19:55",3227.25,3227.5,3227,3227.25,146,162,0.5,0.171795898856082,17.18
"36","12/30/2019","20:00",3227.5,3227.5,3226.5,3226.75,112,249,1,0.3334172721875,33.342
"37","12/30/2019","20:05",3226.75,3227.25,3226.75,3227,256,94,0.5,0.171795898856082,17.18
"38","12/30/2019","20:10",3227.25,3227.5,3227,3227.25,136,61,0.5,0.171795898856082,17.18
"39","12/30/2019","20:15",3227,3227.5,3227,3227.5,137,15,0.5,0.171795898856082,17.18
"40","12/30/2019","20:20",3227.5,3228,3227.5,3227.5,74,78,0.5,0.171795898856082,17.18
"41","12/30/2019","20:25",3227.75,3227.75,3227.5,3227.75,30,35,0.25,0.114026375399164,11.403
"42","12/30/2019","20:30",3227.75,3228,3227.25,3227.5,136,142,0.75,0.245476352411975,24.548
"43","12/30/2019","20:35",3227.5,3227.75,3227.25,3227.75,55,15,0.5,0.171795898856082,17.18
"44","12/30/2019","20:40",3227.5,3227.75,3227.5,3227.75,55,47,0.25,0.114026375399164,11.403
"45","12/30/2019","20:45",3227.75,3228.25,3227.5,3228,101,141,0.75,0.245476352411975,24.548
"46","12/30/2019","20:50",3228,3228.25,3227.75,3227.75,71,133,0.5,0.171795898856082,17.18
"47","12/30/2019","20:55",3228,3228.25,3227.75,3227.75,87,62,0.5,0.171795898856082,17.18
"48","12/30/2019","21:00",3227.75,3228,3227.75,3227.75,3,86,0.25,0.114026375399164,11.403
"49","12/30/2019","21:05",3227.75,3228,3226.75,3227,189,367,1.25,0.431640706206414,43.164
"50","12/30/2019","21:10",3227,3227.25,3227,3227,15,639,0.25,0.114026375399164,11.403
"51","12/30/2019","21:15",3227,3227.25,3226.75,3226.75,132,205,0.5,0.171795898856082,17.18
"52","12/30/2019","21:20",3226.75,3227.5,3226.75,3227.25,170,43,0.75,0.245476352411975,24.548
"53","12/30/2019","21:25",3227.25,3227.25,3227,3227.25,93,101,0.25,0.114026375399164,11.403
"54","12/30/2019","21:30",3227.25,3227.25,3226.75,3227,52,148,0.5,0.171795898856082,17.18
"55","12/30/2019","21:35",3227,3227.25,3226.75,3226.75,114,95,0.5,0.171795898856082,17.18
"56","12/30/2019","21:40",3226.75,3227,3226.5,3226.75,154,163,0.5,0.171795898856082,17.18
"57","12/30/2019","21:45",3227,3227.25,3226.75,3227.25,195,33,0.5,0.171795898856082,17.18
"58","12/30/2019","21:50",3227.25,3227.5,3227,3227.25,89,112,0.5,0.171795898856082,17.18
"59","12/30/2019","21:55",3227.25,3227.5,3227,3227,66,88,0.5,0.171795898856082,17.18
"60","12/30/2019","22:00",3227.25,3227.5,3227.25,3227.5,122,15,0.5,0.171795898856082,17.18
"61","12/30/2019","22:05",3227.25,3227.75,3227.25,3227.5,156,37,0.5,0.171795898856082,17.18
"62","12/30/2019","22:10",3227.75,3228,3227.5,3227.75,120,92,0.5,0.171795898856082,17.18
"63","12/30/2019","22:15",3227.75,3227.75,3227.25,3227.5,51,187,0.5,0.171795898856082,17.18
"64","12/30/2019","22:20",3227.5,3227.5,3227,3227.25,94,123,0.5,0.171795898856082,17.18
"65","12/30/2019","22:25",3227.25,3227.5,3227.25,3227.5,105,28,0.25,0.114026375399164,11.403
"66","12/30/2019","22:30",3227.25,3227.75,3227.25,3227.5,98,46,0.5,0.171795898856082,17.18
"67","12/30/2019","22:35",3227.5,3227.75,3227.25,3227.5,105,84,0.5,0.171795898856082,17.18
"68","12/30/2019","22:40",3227.5,3227.75,3227.25,3227.5,196,72,0.5,0.171795898856082,17.18
"69","12/30/2019","22:45",3227.25,3227.5,3227,3227.25,67,110,0.5,0.171795898856082,17.18
"70","12/30/2019","22:50",3227.25,3227.25,3227,3227.25,49,11,0.25,0.114026375399164,11.403
"71","12/30/2019","22:55",3227.25,3227.5,3227.25,3227.25,67,76,0.25,0.114026375399164,11.403
"72","12/30/2019","23:00",3227.25,3227.5,3227,3227,61,140,0.5,0.171795898856082,17.18
"73","12/30/2019","23:05",3227.25,3227.25,3226.75,3227,80,218,0.5,0.171795898856082,17.18
"74","12/30/2019","23:10",3226.75,3227,3226.5,3226.5,99,155,0.5,0.171795898856082,17.18
"75","12/30/2019","23:15",3226.5,3227,3226.5,3226.75,115,12,0.5,0.171795898856082,17.18
"76","12/30/2019","23:20",3227,3227.25,3226.75,3227,141,92,0.5,0.171795898856082,17.18
"77","12/30/2019","23:25",3227,3227.25,3226.75,3227,124,139,0.5,0.171795898856082,17.18
"78","12/30/2019","23:30",3227,3227.25,3227,3227,59,45,0.25,0.114026375399164,11.403
"79","12/30/2019","23:35",3227,3227.25,3227,3227,56,41,0.25,0.114026375399164,11.403
"80","12/30/2019","23:40",3227,3227.25,3227,3227,51,47,0.25,0.114026375399164,11.403
"81","12/30/2019","23:45",3227.25,3227.5,3227,3227.25,112,51,0.5,0.171795898856082,17.18
"82","12/30/2019","23:50",3227,3227.25,3227,3227,7,139,0.25,0.114026375399164,11.403
"83","12/30/2019","23:55",3227.25,3227.25,3227,3227,45,41,0.25,0.114026375399164,11.403
"84","12/31/2019","00:00",3227,3227.25,3226.75,3227,54,18,0.5,0.171795898856082,17.18
"85","12/31/2019","00:05",3227.25,3227.75,3227.25,3227.5,111,76,0.75,0.245476352411975,24.548
"86","12/31/2019","00:10",3227.25,3227.5,3227.25,3227.5,16,107,0.25,0.114026375399164,11.403
"87","12/31/2019","00:15",3227.25,3227.5,3227.25,3227.25,19,47,0.25,0.114026375399164,11.403
"88","12/31/2019","00:20",3227.25,3227.5,3227.25,3227.25,12,33,0.25,0.114026375399164,11.403
"89","12/31/2019","00:25",3227.25,3227.5,3227.25,3227.25,6,20,0.25,0.114026375399164,11.403
"90","12/31/2019","00:30",3227.25,3227.5,3227.25,3227.25,13,32,0.25,0.114026375399164,11.403
"91","12/31/2019","00:35",3227.5,3227.5,3227.25,3227.25,1,52,0.25,0.114026375399164,11.403
"92","12/31/2019","00:40",3227.25,3227.5,3227.25,3227.5,21,6,0.25,0.114026375399164,11.403
"93","12/31/2019","00:45",3227.25,3227.5,3227.25,3227.5,58,9,0.25,0.114026375399164,11.403
"94","12/31/2019","00:50",3227.5,3227.75,3227.5,3227.5,35,40,0.25,0.114026375399164,11.403
"95","12/31/2019","00:55",3227.25,3227.5,3227.25,3227.25,5,62,0.25,0.114026375399164,11.403
"96","12/31/2019","01:00",3227.5,3227.5,3227.25,3227.25,15,151,0.25,0.114026375399164,11.403
"97","12/31/2019","01:05",3227.25,3227.5,3227.25,3227.25,22,26,0.25,0.114026375399164,11.403
"98","12/31/2019","01:10",3227.25,3227.25,3226.75,3226.75,180,166,0.5,0.171795898856082,17.18
"99","12/31/2019","01:15",3226.75,3226.75,3225.75,3225.75,108,663,1,0.3334172721875,33.342
"100","12/31/2019","01:20",3226,3226,3225.75,3226,182,30,0.25,0.114026375399164,11.403
"101","12/31/2019","01:25",3225.75,3226,3224.5,3224.5,125,488,1.5,0.534306256438473,53.431
"102","12/31/2019","01:30",3224.5,3225,3224.5,3224.5,406,136,0.5,0.171795898856082,17.18
"103","12/31/2019","01:35",3224.75,3225,3224.5,3224.5,185,166,0.5,0.171795898856082,17.18
"104","12/31/2019","01:40",3224.75,3225,3224.5,3224.75,289,164,0.5,0.171795898856082,17.18
"105","12/31/2019","01:45",3224.75,3225.25,3224.5,3225.25,341,95,0.75,0.245476352411975,24.548
"106","12/31/2019","01:50",3225.5,3225.5,3225,3225,153,191,0.5,0.171795898856082,17.18
"107","12/31/2019","01:55",3225,3225,3224.5,3224.75,152,114,0.5,0.171795898856082,17.18
"108","12/31/2019","02:00",3224.75,3225.25,3224.75,3224.75,90,96,0.5,0.171795898856082,17.18
"109","12/31/2019","02:05",3225,3225,3223.5,3223.75,221,707,1.5,0.534306256438473,53.431
"110","12/31/2019","02:10",3224,3224.25,3223,3223.5,533,559,1.25,0.431640706206414,43.164
"111","12/31/2019","02:15",3223.75,3224,3223.5,3223.75,373,177,0.5,0.171795898856082,17.18
"112","12/31/2019","02:20",3223.5,3224.25,3223.5,3224,317,109,0.75,0.245476352411975,24.548
"113","12/31/2019","02:25",3224.25,3224.75,3224,3224.5,375,42,0.75,0.245476352411975,24.548
"114","12/31/2019","02:30",3224.75,3225.25,3224.5,3225,198,95,0.75,0.245476352411975,24.548
"115","12/31/2019","02:35",3225,3225.5,3224.75,3225.5,294,330,0.75,0.245476352411975,24.548
"116","12/31/2019","02:40",3225.5,3225.75,3225.25,3225.75,96,59,0.5,0.171795898856082,17.18
"117","12/31/2019","02:45",3225.75,3226,3225.25,3225.75,109,221,0.75,0.245476352411975,24.548
"118","12/31/2019","02:50",3225.5,3225.75,3225.5,3225.75,29,100,0.25,0.114026375399164,11.403
"119","12/31/2019","02:55",3225.75,3226.5,3225.5,3226.25,215,102,1,0.3334172721875,33.342
"120","12/31/2019","03:00",3226.25,3226.25,3225.75,3226,16,200,0.5,0.171795898856082,17.18
"121","12/31/2019","03:05",3226,3226.5,3225.75,3226,211,196,0.75,0.245476352411975,24.548
"122","12/31/2019","03:10",3226,3226.25,3225.75,3226,134,64,0.5,0.171795898856082,17.18
"123","12/31/2019","03:15",3226,3226.25,3225.75,3226,65,28,0.5,0.171795898856082,17.18
"124","12/31/2019","03:20",3226,3226,3225.5,3225.5,197,218,0.5,0.171795898856082,17.18
"125","12/31/2019","03:25",3225.5,3225.75,3225.5,3225.5,128,183,0.25,0.114026375399164,11.403
"126","12/31/2019","03:30",3225.75,3226,3225.75,3226,109,3,0.5,0.171795898856082,17.18
"127","12/31/2019","03:35",3226,3226.5,3225.75,3226,230,105,0.75,0.245476352411975,24.548
"128","12/31/2019","03:40",3225.75,3225.75,3225.25,3225.25,70,311,0.75,0.245476352411975,24.548
"129","12/31/2019","03:45",3225.25,3225.5,3225,3225.25,93,53,0.5,0.171795898856082,17.18
"130","12/31/2019","03:50",3225.5,3225.75,3225.5,3225.5,171,123,0.5,0.171795898856082,17.18
"131","12/31/2019","03:55",3225.5,3226,3225.5,3226,53,92,0.5,0.171795898856082,17.18
"132","12/31/2019","04:00",3225.75,3225.75,3225.5,3225.75,15,156,0.5,0.171795898856082,17.18
"133","12/31/2019","04:05",3225.5,3226.25,3225.25,3226.25,340,88,1,0.3334172721875,33.342
"134","12/31/2019","04:10",3226.25,3226.25,3225.75,3225.75,7,137,0.5,0.171795898856082,17.18
"135","12/31/2019","04:15",3226,3226,3225.75,3226,60,4,0.25,0.114026375399164,11.403
"136","12/31/2019","04:20",3226,3226.75,3226,3226.75,276,233,0.75,0.245476352411975,24.548
"137","12/31/2019","04:25",3226.75,3227.25,3226.75,3227.25,693,27,0.5,0.171795898856082,17.18
"138","12/31/2019","04:30",3227.25,3227.25,3227,3227.25,76,50,0.25,0.114026375399164,11.403
"139","12/31/2019","04:35",3227,3227.75,3226.75,3227.75,437,171,1,0.3334172721875,33.342
"140","12/31/2019","04:40",3227.5,3228,3227.5,3227.75,318,207,0.5,0.171795898856082,17.18
"141","12/31/2019","04:45",3227.75,3227.75,3227,3227.25,34,276,0.75,0.245476352411975,24.548
"142","12/31/2019","04:50",3227,3227.5,3227,3227.25,104,156,0.5,0.171795898856082,17.18
"143","12/31/2019","04:55",3227.5,3227.5,3227.25,3227.5,155,68,0.25,0.114026375399164,11.403
"144","12/31/2019","05:00",3227.75,3227.75,3226.75,3227,146,316,1,0.3334172721875,33.342
"145","12/31/2019","05:05",3227,3228,3227,3228,474,124,1,0.3334172721875,33.342
"146","12/31/2019","05:10",3227.75,3228,3226.75,3226.75,29,345,1.25,0.431640706206414,43.164
"147","12/31/2019","05:15",3226.75,3226.75,3226,3226.25,194,196,0.75,0.245476352411975,24.548
"148","12/31/2019","05:20",3226.25,3226.5,3225.5,3225.75,100,250,1,0.3334172721875,33.342
"149","12/31/2019","05:25",3225.75,3225.75,3225.25,3225.5,61,354,0.5,0.171795898856082,17.18
"150","12/31/2019","05:30",3225.5,3225.75,3225.25,3225.5,111,153,0.5,0.171795898856082,17.18
"151","12/31/2019","05:35",3225.5,3225.75,3225.25,3225.5,87,140,0.5,0.171795898856082,17.18
"152","12/31/2019","05:40",3225.5,3225.75,3225.25,3225.5,46,57,0.5,0.171795898856082,17.18
"153","12/31/2019","05:45",3225.5,3225.5,3225,3225.25,53,86,0.5,0.171795898856082,17.18
"154","12/31/2019","05:50",3225.5,3225.5,3224.75,3224.75,11,320,0.75,0.245476352411975,24.548
"155","12/31/2019","05:55",3225,3225.25,3224,3224.25,109,358,1.25,0.431640706206414,43.164
"156","12/31/2019","06:00",3224.25,3224.5,3223.25,3223.75,583,462,1.25,0.431640706206414,43.164
"157","12/31/2019","06:05",3224,3224.75,3224,3224,333,396,1,0.3334172721875,33.342
"158","12/31/2019","06:10",3224,3224,3221,3222,1007,1764,3,0.949068331360949,94.907
"159","12/31/2019","06:15",3222,3223,3221.5,3221.75,409,763,1.5,0.534306256438473,53.431
"160","12/31/2019","06:20",3221.75,3222,3220.25,3221.5,652,886,1.75,0.634726189522012,63.473
"161","12/31/2019","06:25",3221.5,3221.75,3220.5,3221.5,609,859,1.25,0.431640706206414,43.164
"162","12/31/2019","06:30",3221.5,3223,3221.5,3223,438,170,1.5,0.534306256438473,53.431
"163","12/31/2019","06:35",3223,3223.5,3222.25,3222.5,469,520,1.25,0.431640706206414,43.164
"164","12/31/2019","06:40",3222.5,3222.75,3222,3222.25,238,619,0.75,0.245476352411975,24.548
"165","12/31/2019","06:45",3222,3222.25,3221.25,3221.75,364,390,1,0.3334172721875,33.342
"166","12/31/2019","06:50",3221.75,3222,3220.5,3220.5,325,784,1.5,0.534306256438473,53.431
"167","12/31/2019","06:55",3220.5,3221.25,3219.75,3221,809,821,1.5,0.534306256438473,53.431
"168","12/31/2019","07:00",3221,3221.75,3220.25,3220.5,463,467,1.5,0.534306256438473,53.431
"169","12/31/2019","07:05",3220.25,3223.75,3219.75,3222.75,2750,1920,4,0.996197011052638,99.62
"170","12/31/2019","07:10",3222.75,3224.5,3222.75,3224.5,1521,773,1.75,0.634726189522012,63.473
"171","12/31/2019","07:15",3224.5,3224.5,3223,3223.25,517,1132,1.5,0.534306256438473,53.431
"172","12/31/2019","07:20",3223.25,3223.25,3221.25,3222.5,835,1367,2,0.726644208426555,72.664
"173","12/31/2019","07:25",3222.5,3223.5,3222,3222.25,380,724,1.5,0.534306256438473,53.431
"174","12/31/2019","07:30",3222.25,3223.25,3222.25,3222.75,473,614,1,0.3334172721875,33.342
"175","12/31/2019","07:35",3222.5,3223,3221.5,3221.75,549,905,1.5,0.534306256438473,53.431
"176","12/31/2019","07:40",3221.75,3222,3220.75,3221.25,811,566,1.25,0.431640706206414,43.164
"177","12/31/2019","07:45",3221.25,3221.5,3220.25,3220.5,530,1416,1.25,0.431640706206414,43.164
"178","12/31/2019","07:50",3220.5,3220.5,3217.75,3219,1456,3062,2.75,0.915834837674981,91.583
"179","12/31/2019","07:55",3219,3219.5,3216.75,3218.75,2418,2993,2.75,0.915834837674981,91.583
"180","12/31/2019","08:00",3218.5,3219,3217,3217.75,1454,1171,2,0.726644208426555,72.664
"181","12/31/2019","08:05",3217.5,3218.25,3216.25,3217.5,1670,1773,2,0.726644208426555,72.664
"182","12/31/2019","08:10",3217.5,3217.75,3216.75,3217.25,387,787,1,0.3334172721875,33.342
"183","12/31/2019","08:15",3217.25,3218.25,3217,3217.75,785,583,1.25,0.431640706206414,43.164
"184","12/31/2019","08:20",3217.5,3218,3216.25,3216.75,2267,2427,1.75,0.634726189522012,63.473
"185","12/31/2019","08:25",3216.75,3217.25,3216.5,3217.25,719,679,0.75,0.245476352411975,24.548
"186","12/31/2019","08:30",3217,3217.25,3215.5,3217,2372,4095,1.75,0.634726189522012,63.473
"187","12/31/2019","08:35",3217,3222,3213,3219.5,30490,30149,9,0.999999999999998,100
"188","12/31/2019","08:40",3219.5,3225,3219.5,3223.25,16361,12093,5.5,0.999987723253043,99.999
"189","12/31/2019","08:45",3223.5,3224.25,3222.25,3223,7664,7598,2,0.726644208426555,72.664
"190","12/31/2019","08:50",3223,3226.75,3222.75,3226,9624,6102,4,0.996197011052638,99.62
"191","12/31/2019","08:55",3226.25,3226.5,3224,3224,7416,7698,2.5,0.868491947061074,86.849
"192","12/31/2019","09:00",3224,3224.75,3223.25,3224,5454,3854,1.5,0.534306256438473,53.431
"193","12/31/2019","09:05",3224.25,3225,3221.25,3222,8297,11286,3.75,0.992040779680071,99.204
"194","12/31/2019","09:10",3222,3223.25,3219.75,3222.75,9301,8716,3.5,0.984320305217463,98.432
"195","12/31/2019","09:15",3222.75,3223.25,3221,3222.25,6081,5184,2.25,0.805379026390572,80.538
"196","12/31/2019","09:20",3222.5,3223.25,3222,3222.5,3211,3352,1.25,0.431640706206414,43.164
"197","12/31/2019","09:25",3222.5,3222.75,3221.5,3221.75,3962,3951,1.25,0.431640706206414,43.164
"198","12/31/2019","09:30",3222,3222,3219,3219.25,5784,7651,3,0.949068331360949,94.907
"199","12/31/2019","09:35",3219.25,3219.75,3217.25,3218.25,7487,7042,2.5,0.868491947061074,86.849
"200","12/31/2019","09:40",3218,3220.25,3218,3219.25,6361,5328,2.25,0.805379026390572,80.538
"201","12/31/2019","09:45",3219.25,3219.5,3217.5,3218,5138,4557,2,0.726644208426555,72.664
"202","12/31/2019","09:50",3217.75,3218.75,3216.5,3217,5765,7313,2.25,0.805379026390572,80.538
"203","12/31/2019","09:55",3217.25,3217.25,3215.5,3217.25,5606,4317,1.75,0.634726189522012,63.473
"204","12/31/2019","10:00",3217.25,3218,3215.5,3215.75,4405,6677,2.5,0.868491947061074,86.849
"205","12/31/2019","10:05",3215.75,3218,3215.25,3218,6831,6194,2.75,0.915834837674981,91.583
"206","12/31/2019","10:10",3218,3218.75,3217,3217.25,3858,4619,1.75,0.634726189522012,63.473
"207","12/31/2019","10:15",3217.25,3218.25,3216.75,3217.25,3990,4202,1.5,0.534306256438473,53.431
"208","12/31/2019","10:20",3217.25,3218.5,3216.25,3218.25,4293,2585,2.25,0.805379026390572,80.538
"209","12/31/2019","10:25",3218.25,3218.5,3216.75,3217,2769,3109,1.75,0.634726189522012,63.473
"210","12/31/2019","10:30",3217.25,3217.75,3216.25,3216.25,2064,3341,1.5,0.534306256438473,53.431
"211","12/31/2019","10:35",3216.5,3216.5,3214.25,3215.25,4432,6912,2.25,0.805379026390572,80.538
"212","12/31/2019","10:40",3215.25,3216.5,3215.25,3216.5,4003,3208,1.25,0.431640706206414,43.164
"213","12/31/2019","10:45",3216.25,3217.75,3215.75,3217.75,5217,4772,2,0.726644208426555,72.664
"214","12/31/2019","10:50",3217.75,3220.25,3217.75,3219,6247,8187,2.5,0.868491947061074,86.849
"215","12/31/2019","10:55",3219,3219.5,3218,3218,1994,4407,1.5,0.534306256438473,53.431
"216","12/31/2019","11:00",3218,3218.25,3217,3217.75,3702,4392,1.25,0.431640706206414,43.164
"217","12/31/2019","11:05",3217.5,3218,3216.5,3218,3113,4657,1.5,0.534306256438473,53.431
"218","12/31/2019","11:10",3217.75,3218.75,3216.25,3217.25,6174,5132,2.5,0.868491947061074,86.849
"219","12/31/2019","11:15",3217,3217.75,3216,3216.75,2804,3366,1.75,0.634726189522012,63.473
"220","12/31/2019","11:20",3216.5,3217.25,3216,3216.25,1363,3466,1.25,0.431640706206414,43.164
"221","12/31/2019","11:25",3216,3216.75,3215.75,3216.25,2895,3007,1,0.3334172721875,33.342
"222","12/31/2019","11:30",3216.25,3218.25,3216,3218.25,3010,1847,2.25,0.805379026390572,80.538
"223","12/31/2019","11:35",3218.25,3219,3217.25,3218.25,2853,2047,1.75,0.634726189522012,63.473
"224","12/31/2019","11:40",3218.25,3218.75,3217.75,3218.25,1940,1965,1,0.3334172721875,33.342
"225","12/31/2019","11:45",3218.25,3219,3218.25,3218.75,938,1200,0.75,0.245476352411975,24.548
"226","12/31/2019","11:50",3218.5,3219,3217.5,3218.5,1864,2429,1.5,0.534306256438473,53.431
"227","12/31/2019","11:55",3218.25,3219,3217.75,3218.75,1657,3009,1.25,0.431640706206414,43.164
"228","12/31/2019","12:00",3218.75,3219.25,3218,3218.25,1551,2014,1.25,0.431640706206414,43.164
"229","12/31/2019","12:05",3218,3219.25,3218,3218.25,1656,3403,1.25,0.431640706206414,43.164
"230","12/31/2019","12:10",3218,3219.25,3218,3219,1013,1138,1.25,0.431640706206414,43.164
"231","12/31/2019","12:15",3219.25,3219.5,3219,3219.25,1149,1154,0.5,0.171795898856082,17.18
"232","12/31/2019","12:20",3219,3219.75,3218,3218,1908,3096,1.75,0.634726189522012,63.473
"233","12/31/2019","12:25",3218.25,3219,3218.25,3218.5,2576,1939,1,0.3334172721875,33.342
"234","12/31/2019","12:30",3218.75,3219.25,3218,3218.5,2408,2017,1.25,0.431640706206414,43.164
"235","12/31/2019","12:35",3218.75,3219.5,3218.5,3219.25,2197,1253,1,0.3334172721875,33.342
"236","12/31/2019","12:40",3219.25,3220,3219,3219.75,1379,2563,1,0.3334172721875,33.342
"237","12/31/2019","12:45",3220,3220.5,3219.5,3219.5,2885,2385,1,0.3334172721875,33.342
"238","12/31/2019","12:50",3219.5,3220.5,3219.5,3220,1856,1601,1,0.3334172721875,33.342
"239","12/31/2019","12:55",3220,3220.5,3219.5,3220.5,2013,1054,1,0.3334172721875,33.342
"240","12/31/2019","13:00",3220.5,3220.75,3220.25,3220.5,2185,784,0.5,0.171795898856082,17.18
"241","12/31/2019","13:05",3220.5,3220.5,3219.75,3220,481,2431,0.75,0.245476352411975,24.548
"242","12/31/2019","13:10",3220.25,3221,3220,3220.5,1554,1419,1,0.3334172721875,33.342
"243","12/31/2019","13:15",3220.25,3220.5,3219.25,3219.75,1878,2091,1.25,0.431640706206414,43.164
"244","12/31/2019","13:20",3219.75,3220.25,3218.75,3220,4057,2642,1.5,0.534306256438473,53.431
"245","12/31/2019","13:25",3220,3221.25,3219.75,3221,2746,1293,1.5,0.534306256438473,53.431
"246","12/31/2019","13:30",3221,3221.75,3220.75,3221.5,3151,1117,1,0.3334172721875,33.342
"247","12/31/2019","13:35",3221.75,3221.75,3221,3221.75,1234,1344,0.75,0.245476352411975,24.548
"248","12/31/2019","13:40",3221.75,3222,3221.25,3221.5,2314,2339,0.75,0.245476352411975,24.548
"249","12/31/2019","13:45",3221.75,3222.5,3221.5,3221.75,2020,2594,1,0.3334172721875,33.342
"250","12/31/2019","13:50",3222,3222.5,3221.5,3221.75,1298,1781,1,0.3334172721875,33.342
