"","Date","Time","Open","High","Low","Close","Up","Down","temp","PCHG"
"1","02/12/2019","09:30",272.43,273.29,272.34,273.01,5925513,6064104,0,0
"2","02/12/2019","10:30",273.01,273.96,272.72,273.87,4621756,3904730,0.00314511669437323,0.314511669437323
"3","02/12/2019","11:30",273.88,274.2,273.62,273.8,3227925,3267002,-0.000255628390751106,-0.0255628390751106
"4","02/12/2019","12:30",273.8,274.21,273.66,274.15,2215779,2117327,0.00127748899570879,0.127748899570879
"5","02/12/2019","13:30",274.16,274.52,274.16,274.35,3358662,3469839,0.000729261654927704,0.0729261654927704
"6","02/12/2019","14:30",274.33,274.47,274.09,274.4,3444577,3529591,0.000182232346745081,0.0182232346745081
"7","02/12/2019","15:00",274.4,274.41,273.9,274.12,4698367,4624984,-0.00102092913410701,-0.102092913410701
"8","02/13/2019","09:30",275.03,275.93,274.95,275.54,6126933,5949567,0.00516684189883065,0.516684189883065
"9","02/13/2019","10:30",275.54,275.84,274.97,275,3480791,3649235,-0.00196171094988173,-0.196171094988173
"10","02/13/2019","11:30",275,275.08,274.56,274.77,3233342,3248526,-0.000836713583566073,-0.0836713583566073
"11","02/13/2019","12:30",274.77,275.1,274.63,275.06,1620581,1559913,0.00105487160355633,0.105487160355633
"12","02/13/2019","13:30",275.06,275.15,274.93,275.13,2171689,1819774,0.000254457552400389,0.0254457552400389
"13","02/13/2019","14:30",275.14,275.57,275.12,275.56,3314462,2641354,0.0015616774860332,0.15616774860332
"14","02/13/2019","15:00",275.56,275.71,274.85,274.98,5342793,6465775,-0.00210702297590792,-0.210702297590792
"15","02/14/2019","09:30",273.78,274.35,272.87,274.32,8088319,8276550,-0.00240305959442288,-0.240305959442288
"16","02/14/2019","10:30",274.3,274.67,273.39,273.78,6990865,7508725,-0.00197044398729851,-0.197044398729851
"17","02/14/2019","11:30",273.8,275.35,273.48,275.19,4143656,3524146,0.00513690402230793,0.513690402230793
"18","02/14/2019","12:30",275.18,275.25,274.84,275.08,1531726,1778116,-0.000399803738038607,-0.0399803738038607
"19","02/14/2019","13:30",275.08,275.29,274.81,275.15,2012618,1807464,0.000254439054132582,0.0254439054132582
