"","Date","WORK.Open","WORK.High","WORK.Low","WORK.Close","WORK.Volume","WORK.Adjusted"
"1",2019-06-20,38.5,42,38.25,38.619999,137364200,38.619999
"2",2019-06-21,38.880001,40.25,36.599998,37.220001,42874100,37.220001
"3",2019-06-24,36.32,36.970001,35.349998,35.759998,16944500,35.759998
"4",2019-06-25,35.189999,36.139999,34.810001,35.200001,10116600,35.200001
"5",2019-06-26,36.209999,37.599998,35.849998,37.189999,19132500,37.189999
"6",2019-06-27,37.77,38.220001,36.200001,36.25,11298600,36.25
"7",2019-06-28,36.73,37.5,36.25,37.5,8709000,37.5
"8",2019-07-01,38.18,38.439999,35.939999,36.549999,9390100,36.549999
"9",2019-07-02,36.110001,36.990002,35.759998,36.549999,3190400,36.549999
"10",2019-07-03,36.279999,36.459999,35.799999,36,3170700,36
"11",2019-07-05,35.799999,36.099998,35.459999,35.52,3437700,35.52
"12",2019-07-08,35.150002,35.540001,34.950001,35,4238400,35
"13",2019-07-09,34.630001,35.66,34.459999,35.639999,4400100,35.639999
"14",2019-07-10,35.599998,36.439999,34.98,35.189999,4986500,35.189999
"15",2019-07-11,35.049999,35.5,34.900002,35,4449700,35
"16",2019-07-12,34.669998,34.990002,33.369999,33.73,14968000,33.73
"17",2019-07-15,34,35.209999,33.939999,34.75,8528400,34.75
"18",2019-07-16,34.57,35.150002,34.200001,34.400002,5821500,34.400002
"19",2019-07-17,34.779999,35,33.400002,33.459999,4468800,33.459999
"20",2019-07-18,33.400002,33.540001,31.93,32,6851600,32
"21",2019-07-19,32.049999,32.950001,31.219999,31.299999,5727700,31.299999
"22",2019-07-22,31.23,33.349998,31.18,33.25,3850800,33.25
"23",2019-07-23,33.599998,34.939999,33.450001,33.939999,7629400,33.939999
"24",2019-07-24,34.02,34.16,33.209999,34.099998,3780700,34.099998
"25",2019-07-25,34.169998,34.299999,33.529999,33.720001,3483000,33.720001
"26",2019-07-26,33.720001,34.209999,33.330002,34.09,4356700,34.09
"27",2019-07-29,34.099998,34.130001,32.5,33.009998,5056400,33.009998
"28",2019-07-30,32.59,32.799999,32.134998,32.580002,2808400,32.580002
"29",2019-07-31,32.82,34,32.799999,33.419998,3539600,33.419998
"30",2019-08-01,33.299999,33.330002,31.93,32,5374400,32
"31",2019-08-02,31.799999,31.85,30.77,30.870001,5259900,30.870001
"32",2019-08-05,29.379999,31.43,29.1,31.389999,5923100,31.389999
"33",2019-08-06,31.48,32.23,30.73,30.84,3940300,30.84
"34",2019-08-07,30.190001,31.08,30.049999,30.77,2301200,30.77
"35",2019-08-08,30.92,31.67,30.625,31.530001,1728000,31.530001
"36",2019-08-09,31.23,31.450001,30.639999,30.780001,1712200,30.780001
"37",2019-08-12,30.459999,32.130001,30.235001,31.17,2813800,31.17
"38",2019-08-13,30.83,31.790001,30.75,31.25,2127900,31.25
"39",2019-08-14,30.52,30.813,29.92,30.76,3234400,30.76
"40",2019-08-15,30.08,30.75,30.01,30.16,2434800,30.16
"41",2019-08-16,30.32,30.355,29.91,30,2615000,30
"42",2019-08-19,30.57,31.5,30.299999,31.139999,2874600,31.139999
"43",2019-08-20,31.09,31.1,30.309999,30.5,2226900,30.5
"44",2019-08-21,30.639999,31.389999,30.440001,30.799999,2072000,30.799999
"45",2019-08-22,32.189999,32.48,30.194,30.549999,4959100,30.549999
"46",2019-08-23,30.52,30.639999,29.969999,30.049999,3977700,30.049999
"47",2019-08-26,30.34,31.139999,30.219999,30.969999,3689500,30.969999
"48",2019-08-27,31.209999,31.27,29.66,29.91,3269900,29.91
"49",2019-08-28,29.59,29.799999,28.5,29.799999,5233600,29.799999
"50",2019-08-29,30,30.190001,29.360001,29.98,3359500,29.98
"51",2019-08-30,29.940001,30.209999,28.25,28.639999,4668600,28.639999
"52",2019-09-03,28.389999,29.219999,27.91,28.76,6052000,28.76
"53",2019-09-04,29.24,31.280001,28.940001,31.07,13472700,31.07
"54",2019-09-05,26.469999,31.209999,26,30.01,43956900,30.01
"55",2019-09-06,29.75,29.98,27.299999,27.379999,15019200,27.379999
"56",2019-09-09,27.58,27.6,23.93,24.92,29281800,24.92
"57",2019-09-10,24.809999,26.860001,24.5,26.75,15140200,26.75
"58",2019-09-11,26.26,26.26,25.15,25.25,7759200,25.25
"59",2019-09-12,25.549999,25.9,25,25.620001,5540900,25.620001
