"","Date","Time","Open","High","Low","Close","Vol","OI"
"1","06/15/2018","16:00",2812.5,2812.75,2812.5,2812.75,0,0
"2","06/18/2018","16:00",2807.5,2807.5,2807.5,2807.5,15074,15074
"3","06/19/2018","16:00",2793.75,2793.75,2793.75,2793.75,0,3643
"4","06/20/2018","16:00",2799.25,2799.25,2799.25,2799.25,0,3643
"5","06/21/2018","16:00",2780.25,2780.25,2780.25,2780.25,0,3643
"6","06/22/2018","16:00",2787,2787,2787,2787,0,3643
"7","06/25/2018","16:00",2748.75,2748.75,2748.75,2748.75,0,3643
"8","06/26/2018","16:00",2751.5,2751.5,2751.5,2751.5,0,3643
"9","06/27/2018","16:00",2727.5,2727.5,2727.5,2727.5,0,3643
"10","06/28/2018","16:00",2742.25,2742.25,2742.25,2742.25,0,3643
"11","06/29/2018","16:00",2745,2745,2745,2745,0,3643
"12","07/02/2018","16:00",2750.5,2750.5,2750.5,2750.5,0,3643
"13","07/03/2018","16:00",2737,2737,2737,2737,0,3643
"14","07/05/2018","16:00",2759.75,2759.75,2759.75,2759.75,0,3643
"15","07/06/2018","16:00",2785,2785,2785,2785,0,3643
"16","07/09/2018","16:00",2800,2808,2800,2808,1,1
"17","07/10/2018","16:00",2818.5,2818.5,2818.5,2818.5,0,1
"18","07/11/2018","16:00",2795.25,2795.25,2795.25,2795.25,0,1
"19","07/12/2018","16:00",2820.25,2820.25,2820.25,2820.25,0,1
"20","07/13/2018","16:00",2825,2825,2825,2825,0,1
"21","07/16/2018","16:00",2828,2828,2818.5,2818.5,1,1
"22","07/17/2018","16:00",2833.5,2833.5,2833.5,2833.5,0,1
"23","07/18/2018","16:00",2838.5,2838.5,2838.5,2838.5,0,1
"24","07/19/2018","16:00",2827.5,2827.5,2827.5,2827.5,0,1
"25","07/20/2018","16:00",2822.5,2822.5,2822.5,2822.5,0,1
"26","07/23/2018","16:00",2833.5,2833.5,2833.5,2833.5,0,1
"27","07/24/2018","16:00",2842.75,2842.75,2842.75,2842.75,0,1
"28","07/25/2018","16:00",2862.5,2862.5,2862.5,2862.5,0,1
"29","07/26/2018","16:00",2864,2864,2864,2864,0,1
"30","07/27/2018","16:00",2841.75,2841.75,2841.75,2841.75,0,1
"31","07/30/2018","16:00",2826.75,2826.75,2826.75,2826.75,0,1
"32","07/31/2018","16:00",2840.75,2840.75,2840.75,2840.75,0,1
"33","08/01/2018","16:00",2834.5,2834.5,2834.5,2834.5,0,1
"34","08/02/2018","16:00",2852,2852,2852,2852,1,1
"35","08/03/2018","16:00",2859.75,2863.75,2859.75,2863.75,1,1
"36","08/06/2018","16:00",2875,2875,2875,2875,2,2
"37","08/07/2018","16:00",2885,2885,2885,2885,0,2
"38","08/08/2018","16:00",2880.25,2880.25,2880.25,2880.25,0,2
"39","08/09/2018","16:00",2878.5,2878.5,2878.5,2878.5,0,2
"40","08/10/2018","16:00",2860.5,2860.5,2860.5,2860.5,0,2
"41","08/13/2018","16:00",2849.25,2849.25,2849.25,2849.25,0,2
"42","08/14/2018","16:00",2864.75,2864.75,2864.75,2864.75,0,2
"43","08/15/2018","16:00",2842.25,2842.25,2842.25,2842.25,0,2
"44","08/16/2018","16:00",2865.75,2865.75,2865.75,2865.75,0,2
"45","08/17/2018","16:00",2873.25,2873.25,2873.25,2873.25,0,2
"46","08/20/2018","16:00",2880,2880,2880,2880,0,2
"47","08/21/2018","16:00",2883.25,2883.25,2883.25,2883.25,0,2
"48","08/22/2018","16:00",2882,2882.5,2882,2882.5,2,2
"49","08/23/2018","16:00",2878,2878,2878,2878,0,2
"50","08/24/2018","16:00",2897.5,2897.5,2897.5,2897.5,0,2
"51","08/27/2018","16:00",2919.75,2919.75,2919.75,2919.75,0,2
"52","08/28/2018","16:00",2922.75,2922.75,2922.75,2922.75,1,3
"53","08/29/2018","16:00",2921.75,2937.75,2921.75,2937.75,3,4
"54","08/30/2018","16:00",2925,2925,2925,2925,1,5
"55","08/31/2018","16:00",2925,2925,2925,2925,0,5
"56","09/04/2018","16:00",2921.5,2921.5,2921.5,2921.5,0,5
