"","Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","ADX","TrigLevel","DateTime"
"1","12/29/2019","17:05",3238.25,3240,3238,3239.25,1721,843,0,0,0,0,"12/29/2019 17:05"
"2","12/29/2019","17:10",3239.5,3240,3239,3239.5,458,289,0,0,0,0,"12/29/2019 17:10"
"3","12/29/2019","17:15",3239.75,3239.75,3239.25,3239.5,469,322,0,0,0,0,"12/29/2019 17:15"
"4","12/29/2019","17:20",3239.75,3240.5,3239.5,3240.25,439,70,0,0,0,0,"12/29/2019 17:20"
"5","12/29/2019","17:25",3240.25,3241.25,3240.25,3241,501,110,0,0,0,0,"12/29/2019 17:25"
"6","12/29/2019","17:30",3241,3241,3240.5,3240.5,84,303,0,0,0,0,"12/29/2019 17:30"
"7","12/29/2019","17:35",3240.75,3240.75,3240.25,3240.75,286,247,0,0,0,0,"12/29/2019 17:35"
"8","12/29/2019","17:40",3240.5,3241,3240.25,3240.75,171,111,0,0,0,0,"12/29/2019 17:40"
"9","12/29/2019","17:45",3240.75,3240.75,3240.5,3240.75,173,139,0,0,0,0,"12/29/2019 17:45"
"10","12/29/2019","17:50",3241,3241.25,3240.5,3241,170,222,0,0,0,0,"12/29/2019 17:50"
"11","12/29/2019","17:55",3241,3241.5,3241,3241.5,244,39,0,0,0,0,"12/29/2019 17:55"
"12","12/29/2019","18:00",3241.5,3241.5,3240.75,3240.75,131,229,0,0,0,0,"12/29/2019 18:00"
"13","12/29/2019","18:05",3241,3242,3240.25,3242,1066,799,0,0,0,0,"12/29/2019 18:05"
"14","12/29/2019","18:10",3242,3242,3239.75,3240,630,1130,0,0,0,0,"12/29/2019 18:10"
"15","12/29/2019","18:15",3240.25,3241.25,3239.5,3241.25,628,262,0,0,0,0,"12/29/2019 18:15"
"16","12/29/2019","18:20",3241.5,3241.5,3240.75,3241.25,239,356,0,0,37.5,20,"12/29/2019 18:20"
"17","12/29/2019","18:25",3241.25,3242.25,3241.25,3241.75,725,325,0,0,42.75,20,"12/29/2019 18:25"
"18","12/29/2019","18:30",3241.75,3242.25,3241.25,3242,402,360,0,0,44.5,20,"12/29/2019 18:30"
"19","12/29/2019","18:35",3242,3242.25,3240.75,3241.25,129,394,3241.31,3240.88,41.12,20,"12/29/2019 18:35"
"20","12/29/2019","18:40",3241.25,3241.25,3240,3240.75,399,477,3241.22,3240.94,34.99,20,"12/29/2019 18:40"
"21","12/29/2019","18:45",3240.75,3241.75,3240.5,3241.75,406,112,3241.33,3241.07,32.41,20,"12/29/2019 18:45"
"22","12/29/2019","18:50",3241.75,3241.75,3240.5,3241,520,790,3241.22,3241.11,30.57,20,"12/29/2019 18:50"
"23","12/29/2019","18:55",3241,3241.25,3240.75,3240.75,300,510,3241.31,3241.1,29.19,20,"12/29/2019 18:55"
"24","12/29/2019","19:00",3241,3241.25,3240.5,3241.25,222,168,3241.31,3241.14,27.33,20,"12/29/2019 19:00"
"25","12/29/2019","19:05",3241.25,3241.5,3240.75,3241.5,333,187,3241.33,3241.18,26.36,20,"12/29/2019 19:05"
"26","12/29/2019","19:10",3241.5,3242,3241.25,3241.75,200,40,3241.33,3241.24,26.43,20,"12/29/2019 19:10"
"27","12/29/2019","19:15",3241.75,3242,3241.5,3241.5,64,193,3241.28,3241.28,26.49,20,"12/29/2019 19:15"
