"","X","Open","High","Low","Close","TRs","PCHG","AvgRet","SD20","ProbRet","TRNu","DateTime"
"1","2020-01-03 03:30:00",3224,3224.75,3222.75,3224.75,"2",0.031015,-0.0065853,0.037631,84.115,2,"2020-01-03 03:30:00"
"2","2020-01-03 00:40:00",3232.25,3233.25,3231.75,3233,"1.5",0.023201,-0.0057962,0.029873,83.415,1.5,"2020-01-03 00:40:00"
"3","2020-01-03 00:35:00",3231.75,3232.5,3231.75,3232.25,"0.75",0.01547,-0.0073424,0.029083,78.36,0.75,"2020-01-03 00:35:00"
"4","2020-01-03 00:20:00",3232,3232,3231,3231.75,"1",-0.0077354,-0.011976,0.029294,55.755,1,"2020-01-03 00:20:00"
"5","2020-01-03 02:35:00",3230.25,3231,3229.25,3230.25,"1.75",0,-0.0061876,0.044525,55.526,1.75,"2020-01-03 02:35:00"
"6","2020-01-03 00:30:00",3232,3232.25,3231.5,3231.75,"0.75",-0.01547,-0.010432,0.029806,43.289,0.75,"2020-01-03 00:30:00"
"7","2020-01-03 00:50:00",3232.75,3234,3232.5,3233.25,"1.5",0.023199,-0.0023191,0.029261,80.842,1.5,"2020-01-03 00:50:00"
"8","2020-01-03 04:10:00",3225.75,3225.75,3224.75,3225,"1",-0.015503,-0.0081329,0.039715,42.639,1,"2020-01-03 04:10:00"
"9","2020-01-03 05:45:00",3215.5,3215.5,3215,3215.25,"0.5",-0.0077751,-0.015914,0.059484,55.442,0.5,"2020-01-03 05:45:00"
"10","2020-01-03 04:30:00",3225,3225,3222.75,3223.25,"2.25",-0.054278,-0.010073,0.038895,12.787,2.25,"2020-01-03 04:30:00"
"11","2020-01-03 02:05:00",3227,3227.5,3222.5,3227.25,"5",0.0077468,-0.0077405,0.041392,64.586,5,"2020-01-03 02:05:00"
"12","2020-01-03 03:15:00",3225,3225,3222.25,3223.5,"2.75",-0.03877,-0.01626,0.042914,29.995,2.75,"2020-01-03 03:15:00"
"13","2020-01-03 03:05:00",3227.25,3227.75,3225.25,3225.25,"2.5",-0.061991,-0.011614,0.045309,13.31,2.5,"2020-01-03 03:05:00"
"14","2020-01-03 02:30:00",3229,3230.5,3228.25,3230.25,"2.25",0.038704,-0.0046414,0.045281,83.078,2.25,"2020-01-03 02:30:00"
"15","2020-01-03 04:55:00",3216,3216.5,3213.5,3214.25,"3",-0.05443,-0.014368,0.046787,19.593,3,"2020-01-03 04:55:00"
"16","2020-01-03 04:25:00",3223.25,3225,3222.75,3225,"2.25",0.054278,-0.0042617,0.040588,92.539,2.25,"2020-01-03 04:25:00"
"17","2020-01-03 00:00:00",3234,3234.25,3232.5,3233,"1.75",-0.030926,-0.0046375,0.034135,22.061,1.75,"2020-01-03 00:00:00"
"18","2020-01-03 05:00:00",3214,3214.5,3206.75,3211.5,"7.75",-0.085593,-0.019811,0.04848,8.7407,7.75,"2020-01-03 05:00:00"
"19","2020-01-03 05:25:00",3217.75,3218,3216.25,3216.25,"1.75",-0.054396,-0.0093189,0.062193,23.429,1.75,"2020-01-03 05:25:00"
"20","2020-01-03 00:55:00",3233.25,3234.5,3233.25,3234.25,"1.25",0.030924,0.0023195,0.026555,85.93,1.25,"2020-01-03 00:55:00"
"21","2020-01-03 05:10:00",3211.75,3215.75,3211.75,3215.5,"4.25",0.12447,-0.014363,0.057432,99.218,4.25,"2020-01-03 05:10:00"
"22","2020-01-03 04:05:00",3223.25,3226,3223,3225.5,"3",0.069781,-0.0054226,0.041014,96.664,3,"2020-01-03 04:05:00"
"23","2020-01-03 02:00:00",3227.5,3228.25,3226.25,3227,"2",-0.023239,-0.0073544,0.04158,35.122,2,"2020-01-03 02:00:00"
"24","2020-01-03 05:05:00",3211.25,3212.5,3209.75,3211.5,"2.75",0,-0.019036,0.048676,65.213,2.75,"2020-01-03 05:05:00"
"25","2020-01-03 02:15:00",3228.75,3228.75,3227.5,3228.5,"1.25",0,-0.0058043,0.042363,55.449,1.25,"2020-01-03 02:15:00"
"26","2020-01-03 03:50:00",3222,3222.75,3220.5,3222.25,"2.25",0,-0.0096888,0.039493,59.69,2.25,"2020-01-03 03:50:00"
"27","2020-01-03 05:30:00",3216.5,3217,3216.25,3216.5,"0.75",0.0077727,-0.0089303,0.062278,60.573,0.75,"2020-01-03 05:30:00"
"28","2020-01-03 02:20:00",3228.5,3230.75,3228.25,3230.25,"2.5",0.05419,-0.0042548,0.044014,90.789,2.5,"2020-01-03 02:20:00"
"29","2020-01-03 01:00:00",3234.25,3234.5,3233.5,3234,"1",-0.0077301,0.001933,0.026647,35.844,1,"2020-01-03 01:00:00"
"30","2020-01-03 03:35:00",3224.75,3225.25,3223.5,3223.5,"1.75",-0.03877,-0.0065879,0.037633,19.623,1.75,"2020-01-03 03:35:00"
