"","SDS.Open","SDS.High","SDS.Low","SDS.Close","SDS.Volume","SDS.Adjusted"
"1",40.779999,40.919998,40.490002,40.490002,2623600,39.310272
"2",40.43,40.450001,39.939999,39.990002,3216800,38.824833
"3",39.77,39.82,39.5,39.650002,3412200,38.494736
"4",39.389999,39.57,39.099998,39.139999,3978500,37.999599
"5",39.169998,39.27,38.959999,39,1991600,37.863674
"6",38.869999,38.959999,38.630001,38.830002,3024500,37.698631
"7",39.080002,39.290001,38.860001,38.970001,2897000,37.834553
"8",38.790001,38.84,38.41,38.41,3051900,37.290863
"9",38.310001,38.349998,37.849998,37.91,3952100,36.805439
"10",37.52,38.380001,37.330002,38.16,8503100,37.048153
"11",37.889999,38.110001,37.32,37.439999,5734100,36.349125
"12",37.490002,37.73,37.360001,37.57,4404700,36.475349
"13",37.389999,37.580002,37.240002,37.240002,3772200,36.154953
"14",37.310001,37.32,36.639999,36.639999,3869600,35.572441
"15",36.630001,36.720001,36.400002,36.490002,3641300,35.426811
"16",36.32,36.860001,36.130001,36.509998,7496200,35.446228
"17",36.27,36.73,36.25,36.509998,5060200,35.446228
"18",36.27,36.34,35.66,35.66,4483900,34.620991
"19",35.82,36.169998,35.700001,36.16,6330600,35.10643
"20",36.68,37.02,36.5,36.900002,9252300,35.824863
"21",36.630001,37.169998,36.470001,36.830002,8125500,35.756905
"22",37.099998,37.169998,36.560001,36.950001,6026000,35.873409
"23",37.360001,38.549999,37.299999,38.529999,13981000,37.407368
"24",39.150002,41.970001,38.450001,41.669998,22223500,40.455879
"25",43.040001,43.439999,39.98,40.150002,17415700,38.980171
"26",40.389999,40.619999,39.200001,40.619999,13611700,39.436478
"27",40.490002,43.66,40.470001,43.639999,14289800,42.368481
"28",42.599998,45.27,41.66,42.299999,23705300,41.067524
"29",41.57,42.23,40.59,41.139999,10849300,39.941319
"30",41.529999,41.75,40.73,40.919998,5794000,39.72773
"31",41.419998,41.450001,39.68,39.779999,8127100,38.620953
"32",39.240002,40.07,38.82,38.82,8180200,37.688919
"33",39.029999,39.049999,38.169998,38.740002,8582400,37.611256
"34",39.119999,39.540001,38.639999,39.279999,6340100,38.135521
"35",39.139999,39.700001,38.34,39.700001,8686000,38.543278
"36",39.380001,39.810001,38.82,39.599998,7786900,38.446194
"37",39.169998,39.34,38.330002,38.330002,7014000,37.213203
"38",38,38.169998,37.41,37.439999,5097500,36.349125
"39",37.400002,38.389999,37.169998,38.389999,6762400,37.27145
"40",38.029999,39.259998,37.900002,39.259998,6910500,38.1161
"41",39.220001,40.82,38.740002,40.299999,14589500,39.125805
"42",40.950001,41.200001,39.73,39.900002,9445500,38.737453
"43",40.32,40.349998,38.799999,38.98,8019800,37.844261
"44",38.68,39.279999,38.66,38.799999,6431800,37.66951
"45",39.52,39.549999,38.709999,38.82,6489600,37.688919
"46",38.610001,38.939999,38.43,38.470001,6248000,37.349117
"47",38.029999,38.130001,37.150002,37.150002,7284400,36.067581
"48",37.029999,37.34,36.860001,37.23,5068800,36.145252
"49",36.889999,37.900002,36.73,37.73,5603400,36.630684
"50",37.43,38.279999,37.369999,38.099998,6047500,36.989899
"51",37.959999,38.360001,37.75,38.189999,3999300,37.077278
"52",38.049999,38.130001,37.799999,38.119999,4528700,37.009312
"53",38.389999,39.66,38.360001,39.150002,7214300,38.009308
"54",39.029999,39.240002,38.830002,39.02,3623400,37.883095
"55",38.970001,39.18,38.290001,39.099998,5634600,38.036789
"56",39.869999,41.16,39.57,41.040001,10765200,39.924046
"57",40.91,42.900002,40.82,42.84,11249500,41.675098
"58",41.470001,42.380001,40.400002,40.48,9596300,39.379276
"59",40.18,42.43,40,41.91,9348400,40.77039
"60",41.849998,42.549999,41.240002,42.130001,9912100,40.984409
"61",41.740002,42.009998,40.400002,40.959999,7136300,39.846218
"62",41.27,43.709999,41.09,42.82,13090800,41.655643
"63",42.34,43.060001,41.599998,41.740002,8631900,40.605015
"64",43.049999,43.099998,40.619999,40.82,7690200,39.710026
"65",40.279999,40.650002,39.93,40.23,4092200,39.13607
"66",40.950001,42.560001,40.41,42,8853700,40.857944
"67",41.5,41.779999,40.400002,41.669998,5649100,40.536911
"68",40.580002,41,40.040001,40.330002,7446300,39.23336
"69",40.84,40.849998,40.169998,40.740002,5508000,39.632206
"70",40.290001,40.349998,39.75,40.07,4514000,38.980419
"71",39.630001,40.66,39.610001,40.330002,6190800,39.23336
"72",39.779999,40.060001,39.400002,39.68,7798500,38.601025
"73",39.080002,39.25,38.619999,38.82,5718500,37.764412
"74",38.669998,38.91,38.509998,38.759998,3251300,37.706047
"75",39.009998,39.540001,38.93,39.209999,4279400,38.143803
"76",39.220001,40.169998,39.169998,39.889999,4009100,38.805321
"77",39.669998,40.259998,39.509998,39.889999,3418200,38.805321
"78",39.549999,41.490002,39.48,40.970001,7993500,39.855949
"79",41.029999,41.650002,40.630001,40.790001,6146700,39.680843
"80",40.419998,40.59,39.68,39.959999,4180100,38.873413
"81",39.75,40.23,39.66,39.900002,4189000,38.815041
"82",39.700001,40.540001,39.5,40.540001,4117600,39.437637
"83",40.700001,41.25,40.34,40.380001,4336900,39.281998
"84",40.470001,41.07,40.18,40.950001,3780500,39.836491
"85",41.259998,42.23,40.889999,41.110001,7117300,39.992138
"86",41.48,41.59,39.830002,40.060001,8159100,38.970692
"87",39.77,40.040001,39.470001,39.799999,4301600,38.717762
"88",39.93,40.34,39.689999,39.810001,4022500,38.727493
"89",39.580002,39.759998,38.93,39.040001,5740700,37.978432
"90",38.82,38.84,38.209999,38.32,6532100,37.278008
