"","X","DateTime","Open","High","Low","Close"
"1","  1","02/21/2019 17:15","2773.50","2773.75","2772.25","2772.75"
"2","  2","02/21/2019 17:30","2772.75","2773.25","2771.50","2772.00"
"3","  3","02/21/2019 17:45","2772.00","2773.25","2771.75","2773.00"
"4","  4","02/21/2019 18:00","2773.00","2774.75","2772.50","2774.50"
"5","  5","02/21/2019 18:15","2774.50","2774.75","2772.00","2774.00"
"6","  6","02/21/2019 18:30","2773.75","2774.00","2772.75","2773.75"
"7","  7","02/21/2019 18:45","2774.00","2774.50","2773.25","2773.50"
"8","  8","02/21/2019 19:00","2773.50","2775.25","2773.50","2775.25"
"9","  9","02/21/2019 19:15","2775.00","2776.00","2774.25","2774.50"
"10"," 10","02/21/2019 19:30","2774.50","2775.25","2771.50","2773.00"
"11"," 11","02/21/2019 19:45","2773.00","2774.00","2770.50","2773.25"
"12"," 12","02/21/2019 20:00","2773.50","2774.50","2771.50","2771.75"
"13"," 13","02/21/2019 20:15","2771.75","2773.00","2771.25","2772.25"
"14"," 14","02/21/2019 20:30","2772.25","2773.00","2772.00","2772.00"
"15"," 15","02/21/2019 20:45","2772.25","2773.25","2772.25","2773.25"
"16"," 16","02/21/2019 21:00","2773.00","2773.75","2771.50","2772.00"
"17"," 17","02/21/2019 21:15","2772.00","2773.50","2771.00","2773.25"
"18"," 18","02/21/2019 21:30","2773.25","2773.75","2772.50","2773.00"
"19"," 19","02/21/2019 21:45","2772.75","2773.25","2772.00","2772.25"
"20"," 20","02/21/2019 22:00","2772.25","2772.75","2772.00","2772.50"
"21"," 21","02/21/2019 22:15","2772.50","2773.00","2772.25","2773.00"
"22"," 22","02/21/2019 22:30","2773.25","2773.50","2772.25","2772.50"
"23"," 23","02/21/2019 22:45","2772.50","2772.50","2771.50","2771.75"
"24"," 24","02/21/2019 23:00","2771.75","2772.50","2771.75","2772.00"
"25"," 25","02/21/2019 23:15","2772.25","2772.50","2771.75","2771.75"
"26"," 26","02/21/2019 23:30","2771.75","2772.50","2770.75","2770.75"
"27"," 27","02/21/2019 23:45","2771.00","2775.25","2771.00","2775.25"
"28"," 28","02/22/2019 00:00","2775.25","2775.50","2774.50","2774.75"
"29"," 29","02/22/2019 00:15","2774.75","2775.25","2773.75","2774.75"
"30"," 30","02/22/2019 00:30","2774.75","2775.00","2774.00","2775.00"
"31"," 31","02/22/2019 00:45","2775.25","2775.75","2774.75","2775.00"
"32"," 32","02/22/2019 01:00","2775.00","2776.75","2775.00","2776.50"
"33"," 33","02/22/2019 01:15","2776.50","2777.25","2774.00","2774.75"
"34"," 34","02/22/2019 01:30","2775.00","2775.50","2773.75","2775.00"
"35"," 35","02/22/2019 01:45","2775.25","2776.00","2774.75","2775.25"
"36"," 36","02/22/2019 02:00","2775.50","2777.00","2775.25","2776.50"
"37"," 37","02/22/2019 02:15","2776.25","2778.00","2775.50","2777.00"
