"","Open","High","Low","Close","TR"
"1",272.43,273.29,272.34,273.01,NULL
"2",273.01,273.96,272.72,273.87,c(High = 1.23999999999995)
"3",273.88,274.2,273.62,273.8,c(High = 0.579999999999984)
"4",273.8,274.21,273.66,274.15,c(High = 0.549999999999955)
"5",274.16,274.52,274.16,274.35,c(High = 0.370000000000005)
"6",274.33,274.47,274.09,274.4,c(High = 0.380000000000052)
"7",274.4,274.41,273.9,274.12,c(High = 0.510000000000048)
"8",275.03,275.93,274.95,275.54,c(High = 1.81)
"9",275.54,275.84,274.97,275,c(High = 0.869999999999948)
"10",275,275.08,274.56,274.77,c(High = 0.519999999999982)
"11",274.77,275.1,274.63,275.06,c(High = 0.470000000000027)
"12",275.06,275.15,274.93,275.13,c(High = 0.21999999999997)
"13",275.14,275.57,275.12,275.56,c(High = 0.449999999999989)
"14",275.56,275.71,274.85,274.98,c(High = 0.859999999999957)
"15",273.78,274.35,272.87,274.32,c(Close = 2.11000000000001)
"16",274.3,274.67,273.39,273.78,c(High = 1.28000000000003)
"17",273.8,275.35,273.48,275.19,c(High = 1.87)
"18",275.18,275.25,274.84,275.08,c(High = 0.410000000000025)
"19",275.08,275.29,274.81,275.15,c(High = 0.480000000000018)
"20",275.15,275.64,274.64,274.86,c(High = 1)
"21",274.86,275.29,274.29,274.37,c(High = 1)
"22",276.34,276.98,276.19,276.77,c(High = 2.61000000000001)
"23",276.77,277.13,276.13,276.65,c(High = 1)
"24",276.64,276.9,276.31,276.74,c(High = 0.589999999999975)
"25",276.75,276.88,276.27,276.28,c(High = 0.610000000000014)
"26",276.28,276.75,276.26,276.61,c(High = 0.490000000000009)
"27",276.61,277.03,276.5,276.66,c(High = 0.529999999999973)
"28",276.65,277.41,276.6,277.39,c(High = 0.810000000000002)
"29",276.49,277.63,276.47,277.53,c(High = 1.15999999999997)
"30",277.52,277.58,277.05,277.33,c(High = 0.529999999999973)
"31",277.33,278.24,277.3,278.08,c(High = 0.939999999999998)
"32",278.08,278.1,277.79,277.9,c(High = 0.310000000000002)
"33",277.9,278.27,277.74,278.23,c(High = 0.529999999999973)
"34",278.23,278.58,278.18,278.26,c(High = 0.399999999999977)
"35",278.26,278.48,277.71,277.84,c(High = 0.770000000000039)
"36",277.82,278.23,277.64,278.18,c(High = 0.590000000000032)
"37",278.19,278.43,278,278.19,c(High = 0.430000000000007)
"38",278.19,278.54,277.59,277.62,c(High = 0.950000000000045)
"39",277.62,278.32,277.45,278.3,c(High = 0.870000000000005)
"40",278.31,278.92,277.25,277.85,c(High = 1.67000000000002)
"41",277.85,278.65,277.84,278.34,c(High = 0.810000000000002)
"42",278.34,278.56,278.11,278.43,c(High = 0.449999999999989)
"43",277.73,277.98,276.85,276.98,c(Close = 1.57999999999998)
"44",276.99,277.67,276.97,277.2,c(High = 0.699999999999989)
"45",277.2,277.91,277.12,277.74,c(High = 0.79000000000002)
"46",277.74,278.1,277.7,277.74,c(High = 0.400000000000034)
"47",277.75,277.8,276.88,277.13,c(High = 0.920000000000016)
"48",277.12,277.18,276.37,276.72,c(High = 0.810000000000002)
"49",276.71,277.47,276.35,277.47,c(High = 1.12)
"50",278.11,278.64,277.82,278.42,c(High = 1.16999999999996)
"51",278.41,279.25,278.25,279.15,c(High = 1)
"52",279.14,279.36,278.93,278.97,c(High = 0.430000000000007)
"53",278.98,279.04,278.62,278.86,c(High = 0.420000000000016)
"54",278.86,279.14,278.71,278.75,c(High = 0.430000000000007)
"55",278.75,278.95,278.04,278.87,c(High = 0.909999999999968)
"56",278.88,279.22,278.59,279.14,c(High = 0.630000000000052)
"57",280.73,281.08,280.44,280.59,c(High = 1.94)
"58",280.59,281.31,280.41,280.87,c(High = 0.899999999999977)
"59",280.87,281.11,280.45,280.54,c(High = 0.660000000000025)
"60",280.54,280.61,280.08,280.16,c(High = 0.53000000000003)
"61",280.14,280.42,279.95,280.2,c(High = 0.470000000000027)
"62",280.2,280.34,279.59,279.61,c(High = 0.75)
"63",279.61,280.06,279.43,279.57,c(High = 0.629999999999995)
"64",279.13,279.96,278.94,279.64,c(High = 1.01999999999998)
"65",279.64,280.17,278.9,279.98,c(High = 1.27000000000004)
"66",279.97,280.24,279.47,279.62,c(High = 0.769999999999982)
"67",279.62,279.68,279.24,279.48,c(High = 0.439999999999998)
"68",279.49,279.69,279.28,279.46,c(High = 0.410000000000025)
"69",279.47,280.3,279.45,279.92,c(High = 0.850000000000023)
"70",279.91,280.15,279.27,279.34,c(High = 0.879999999999995)
"71",278.52,279.23,277.48,277.83,c(Close = 1.85999999999996)
"72",277.83,278.64,277.68,278.5,c(High = 0.95999999999998)
"73",278.49,279,278.4,278.88,c(High = 0.600000000000023)
"74",278.88,279.46,278.83,279.3,c(High = 0.629999999999995)
"75",279.3,279.42,279,279.24,c(High = 0.420000000000016)
